id;idgrup;grupo;promacum;carrera;matriculada
4;4;A;3,75;   Biología;1
6;6;A;3,47;   Biología;1
9;9;A;4,05;   Biología;1
10;10;A;3,9;   Biología;1
11;11;A;3,55;   Biología;1
12;12;A;4,63;   Biología;1
14;14;A;4,28;   Biología;1
17;17;A;4,02;   Biología;1
18;18;A;3,79;   Biología;1
20;20;A;3,34;   Biología;1
21;21;A;3,5;   Biología;1
24;24;A;3,56;   Biología;1
27;27;A;4,18;   Biología;1
29;29;A;4,58;   Biología;1
30;30;A;3,47;   Biología;1
32;32;A;3,96;   Biología;1
33;33;A;3,59;   Biología;1
36;36;A;4,17;   Biología;1
66;4;F;3,65;   Biología;1
69;7;F;3,56;   Biología;1
72;10;F;3,71;   Biología;1
77;15;F;4,08;   Biología;1
46;10;B;NA;   Biología;1
2;2;A;3,49;   Ingeniería Civil;1
3;3;A;3,85;   Ingeniería Civil;1
13;13;A;3,94;   Ingeniería Civil;1
15;15;A;4,02;   Ingeniería Civil;1
16;16;A;4,02;   Ingeniería Civil;1
19;19;A;3,82;   Ingeniería Civil;1
22;22;A;3,4;   Ingeniería Civil;1
23;23;A;3,51;   Ingeniería Civil;1
28;28;A;4,08;   Ingeniería Civil;1
31;31;A;4,22;   Ingeniería Civil;1
35;35;A;4,71;   Ingeniería Civil;1
37;1;B;3,54;   Ingeniería Civil;1
38;2;B;4,16;   Ingeniería Civil;1
39;3;B;3,6;   Ingeniería Civil;1
40;4;B;3,65;   Ingeniería Civil;1
41;5;B;4,25;   Ingeniería Civil;1
42;6;B;3,61;   Ingeniería Civil;1
43;7;B;3,81;   Ingeniería Civil;1
44;8;B;4,2;   Ingeniería Civil;1
45;9;B;3,37;   Ingeniería Civil;1
47;11;B;3,42;   Ingeniería Civil;1
48;12;B;4,02;   Ingeniería Civil;1
49;13;B;4,83;   Ingeniería Civil;1
50;14;B;3,59;   Ingeniería Civil;1
51;15;B;3,91;   Ingeniería Civil;1
52;16;B;3,55;   Ingeniería Civil;1
55;19;B;4,5;   Ingeniería Civil;1
56;20;B;4,26;   Ingeniería Civil;1
57;21;B;3,54;   Ingeniería Civil;1
59;23;B;3,35;   Ingeniería Civil;1
60;24;B;4,24;   Ingeniería Civil;1
61;25;B;3,86;   Ingeniería Civil;1
62;26;B;3,65;   Ingeniería Civil;1
63;1;F;4,24;   Ingeniería Civil;1
65;3;F;4,21;   Ingeniería Civil;1
68;6;F;3,57;   Ingeniería Civil;1
71;9;F;3,98;   Ingeniería Civil;1
75;13;F;3,36;   Ingeniería Civil;1
80;18;F;3,53;   Ingeniería Civil;1
81;19;F;4,33;   Ingeniería Civil;1
73;11;F;4;   Ingeniería Civil;1
34;34;A;3,42;   Ingeniería de Sistemas;1
54;18;B;3,51;   Ingeniería de Sistemas;2
58;22;B;3,69;   Ingeniería de Sistemas;2
64;2;F;4,47;   Ingeniería de Sistemas;1
1;1;A;4,18;   Ingeniería Electrónica;1
5;5;A;3,69;   Ingeniería Electrónica;1
7;7;A;4,29;   Ingeniería Electrónica;1
25;25;A;3,84;   Ingeniería Electrónica;1
76;14;F;3,42;   Ingeniería Electrónica;1
8;8;A;4,03;   Ingeniería Mecánica;1
26;26;A;3,65;   Ingeniería Mecánica;1
53;17;B;3,46;   Ingeniería Mecánica;1
67;5;F;4,12;   Ingeniería Mecánica;1
70;8;F;3,73;   Negocios Internacionales;1
74;12;F;4,16;   Negocios Internacionales;1
78;16;F;3,49;   Negocios Internacionales;1
79;17;F;4,07;   Negocios Internacionales;1
